#,Company,Symbol,Weight,Price,Chg,% Chg
1,Unitedhealth Group Inc,UNH,9.206739,478.32,-2.32,(-0.48%)
2,Microsoft Corp,MSFT,6.5231,337.9,-2.64,(-0.78%)
3,Goldman Sachs Group Inc,GS,6.178307,326.61,4.07,(1.26%)
4,Home Depot Inc,HD,5.950361,310.1,-0.54,(-0.17%)
5,Mcdonald S Corp,MCD,5.716093,295.2,-3.21,(-1.08%)
6,Caterpillar Inc,CAT,4.713129,247.71,1.66,(0.67%)
7,Visa Inc Class a Shares,V,4.548969,237.9,0.42,(0.17%)
8,Amgen Inc,AMGN,4.25283,224.73,2.71,(1.22%)
9,Salesforce Inc,CRM,4.04672,210.96,-0.3,(-0.14%)
10,Boeing Co,BA,4.044805,210.78,-0.38,(-0.18%)
11,Honeywell International Inc,HON,3.974697,208.35,0.85,(0.41%)
12,Apple Inc,AAPL,3.715528,192.42,-1.55,(-0.80%)
13,American Express Co,AXP,3.33683,174.31,0.11,(0.06%)
14,Travelers Cos Inc,TRV,3.326486,173.2,-0.46,(-0.26%)
15,Johnson & Johnson,JNJ,3.170563,163.57,-1.95,(-1.18%)
16,Chevron Corp,CVX,3.014065,157.07,-0.28,(-0.18%)
17,Walmart Inc,WMT,3.010809,158.21,1.03,(0.65%)
18,Procter & Gamble Co,PG,2.906605,152.72,0.98,(0.65%)
19,Jpmorgan Chase & Co,JPM,2.785927,146.85,1.41,(0.97%)
20,Intl Business Machines Corp,IBM,2.563153,133.67,-0.15,(-0.11%)
21,Merck & Co. Inc.,MRK,2.210315,114.4,-0.99,(-0.86%)
22,Nike Inc Cl B,NKE,2.114156,109.13,-1.24,(-1.13%)
23,3m Co W/d,MMM,1.917241,101.16,1.07,(1.07%)
24,Walt Disney Co,DIS,1.710173,90.5,1.22,(1.37%)
25,Coca Cola Co,KO,1.153524,60.55,0.33,(0.55%)
26,Dow Inc,DOW,1.020204,53.79,0.53,(0.99%)
27,Cisco Systems Inc,CSCO,0.991088,51.74,-0.01,(-0.01%)
28,Verizon Communications Inc,VZ,0.712381,37.32,0.13,(0.34%)
29,Intel Corp,INTC,0.640549,33.54,0.1,(0.29%)
30,Walgreens Boots Alliance Inc,WBA,0.545731,29.01,0.52,(1.83%)
