#,Company,Symbol,Weight,Price,Chg,% Chg
1,Microsoft Corp,MSFT,12.919,337.9,-2.64,(-0.78%)
2,Apple Inc,AAPL,12.572,192.42,-1.55,(-0.80%)
3,NVIDIA Corp,NVDA,6.945,424.16,1.14,(0.27%)
4,Amazon.com Inc,AMZN,6.853,130.44,0.08,(0.06%)
5,Tesla Inc,TSLA,4.251,278.79,17.02,(6.50%)
6,Meta Platforms Inc,META,4.22,285.85,-1.13,(-0.39%)
7,Alphabet Inc,GOOGL,3.714,119.62,-0.09,(-0.07%)
8,Alphabet Inc,GOOG,3.641,120.43,-0.55,(-0.45%)
9,Broadcom Inc,AVGO,2.404,875.63,8.2,(0.94%)
10,PepsiCo Inc,PEP,1.696,185.17,-0.06,(-0.03%)
11,Costco Wholesale Corp,COST,1.587,540.81,2.43,(0.45%)
12,Adobe Inc,ADBE,1.491,484.74,-4.25,(-0.87%)
13,Cisco Systems Inc,CSCO,1.401,51.74,-0.01,(-0.01%)
14,Netflix Inc,NFLX,1.302,440.8,0.31,(0.07%)
15,Advanced Micro Devices Inc,AMD,1.219,115.38,1.47,(1.29%)
16,Comcast Corp,CMCSA,1.141,41.64,0.09,(0.22%)
17,T-Mobile US Inc,TMUS,1.108,139.3,0.4,(0.29%)
18,Texas Instruments Inc,TXN,1.086,179.4,-0.62,(-0.35%)
19,Intel Corp,INTC,0.927,33.54,0.1,(0.29%)
20,Honeywell International Inc,HON,0.918,208.35,0.85,(0.41%)
21,QUALCOMM Inc,QCOM,0.881,119.51,0.47,(0.39%)
22,Intuit Inc,INTU,0.853,452.25,-5.94,(-1.30%)
23,Applied Materials Inc,AMAT,0.807,144.94,0.4,(0.28%)
24,Intuitive Surgical Inc,ISRG,0.796,335.92,-6.02,(-1.76%)
25,Amgen Inc,AMGN,0.788,224.73,2.71,(1.22%)
26,Starbucks Corp,SBUX,0.755,99.31,0.25,(0.25%)
27,Booking Holdings Inc,BKNG,0.663,2719.93,19.6,(0.73%)
28,Mondelez International Inc,MDLZ,0.66,73.52,0.58,(0.80%)
29,Analog Devices Inc,ADI,0.649,192.9,-1.91,(-0.98%)
30,Gilead Sciences Inc,GILD,0.639,76.36,-0.71,(-0.92%)
31,Automatic Data Processing Inc,ADP,0.604,218.68,-1.11,(-0.50%)
32,Vertex Pharmaceuticals Inc,VRTX,0.602,350.31,-1.6,(-0.46%)
33,Lam Research Corp,LRCX,0.574,649.5,6.64,(1.03%)
34,Palo Alto Networks Inc,PANW,0.519,254.5,-1.01,(-0.40%)
35,Regeneron Pharmaceuticals Inc,REGN,0.515,717.13,-1.41,(-0.20%)
36,PayPal Holdings Inc,PYPL,0.495,68.08,1.35,(2.02%)
37,CSX Corp,CSX,0.461,34.38,0.28,(0.83%)
38,Micron Technology Inc,MU,0.459,63.8,0.69,(1.09%)
39,KLA Corp,KLAC,0.442,480.18,-4.84,(-1.00%)
40,Activision Blizzard Inc,ATVI,0.44,83.49,-0.81,(-0.97%)
41,Synopsys Inc,SNPS,0.44,433.4,-2.02,(-0.46%)
42,Cadence Design Systems Inc,CDNS,0.425,235.48,0.96,(0.41%)
43,ASML Holding NV,ASML,0.423,734.35,9.6,(1.32%)
44,Monster Beverage Corp,MNST,0.4,56.81,-0.63,(-1.10%)
