#,Company,Symbol,Weight,Price,Chg,% Chg
1,Apple Inc,AAPL,7.716857,192.42,-1.55,(-0.80%)
2,Microsoft Corp,MSFT,6.813388,337.9,-2.64,(-0.78%)
3,Amazon.com Inc,AMZN,3.131198,130.44,0.08,(0.06%)
4,Nvidia Corp,NVDA,2.815094,424.16,1.14,(0.27%)
5,Alphabet Inc Cl A,GOOGL,1.913546,119.62,-0.09,(-0.07%)
6,Tesla Inc,TSLA,1.897653,278.79,17.02,(6.50%)
7,Meta Platforms Inc Class A,META,1.708238,285.85,-1.13,(-0.39%)
8,Alphabet Inc Cl C,GOOG,1.663473,120.43,-0.55,(-0.45%)
9,Berkshire Hathaway Inc Cl B,BRK.B,1.636312,341.87,0.87,(0.25%)
10,Unitedhealth Group Inc,UNH,1.204103,478.32,-2.32,(-0.48%)
11,Exxon Mobil Corp,XOM,1.166774,107.35,0.1,(0.09%)
12,Johnson & Johnson,JNJ,1.157439,163.57,-1.95,(-1.18%)
13,Jpmorgan Chase & Co,JPM,1.143647,146.85,1.41,(0.97%)
14,Visa Inc Class a Shares,V,1.034066,237.9,0.42,(0.17%)
15,Eli Lilly & Co,LLY,0.994053,462.25,-6.73,(-1.44%)
16,Broadcom Inc,AVGO,0.974235,875.63,8.2,(0.94%)
17,Procter & Gamble Co,PG,0.962099,152.72,0.98,(0.65%)
18,Mastercard Inc A,MA,0.885536,394.51,1.21,(0.31%)
19,Home Depot Inc,HD,0.846464,310.1,-0.54,(-0.17%)
20,Merck & Co. Inc.,MRK,0.787852,114.4,-0.99,(-0.86%)
21,Chevron Corp,CVX,0.737845,157.07,-0.28,(-0.18%)
22,Pepsico Inc,PEP,0.685615,185.17,-0.06,(-0.03%)
23,Costco Wholesale Corp,COST,0.642077,540.81,2.43,(0.45%)
24,Abbvie Inc,ABBV,0.640333,134.62,-0.11,(-0.08%)
25,Coca Cola Co,KO,0.629935,60.55,0.33,(0.55%)
26,Adobe Inc,ADBE,0.603578,484.74,-4.25,(-0.87%)
27,Walmart Inc,WMT,0.592419,158.21,1.03,(0.65%)
28,Mcdonald S Corp,MCD,0.587351,295.2,-3.21,(-1.08%)
29,Cisco Systems Inc,CSCO,0.57123,51.74,-0.01,(-0.01%)
30,Pfizer Inc,PFE,0.557188,36.66,-0.02,(-0.05%)
31,Salesforce Inc,CRM,0.556542,210.96,-0.3,(-0.14%)
32,Thermo Fisher Scientific Inc,TMO,0.541521,532.17,10.42,(2.00%)
33,Bank of America Corp,BAC,0.535237,29.21,0.52,(1.80%)
34,Netflix Inc,NFLX,0.527201,440.8,0.31,(0.07%)
35,Accenture Plc Cl A,ACN,0.524395,311.03,2.45,(0.79%)
36,Abbott Laboratories,ABT,0.510858,107.93,-1.09,(-1.00%)
37,Linde Plc,LIN,0.502042,378.39,-2.69,(-0.71%)
38,Advanced Micro Devices,AMD,0.493605,115.38,1.47,(1.29%)
39,Oracle Corp,ORCL,0.493138,117.27,-1.82,(-1.53%)
40,Comcast Corp Class A,CMCSA,0.461789,41.64,0.09,(0.22%)
41,Texas Instruments Inc,TXN,0.438373,179.4,-0.62,(-0.35%)
42,Walt Disney Co,DIS,0.438354,90.5,1.22,(1.37%)
43,Wells Fargo & Co,WFC,0.430922,43.65,0.97,(2.26%)
44,Danaher Corp,DHR,0.428878,240.67,0.67,(0.28%)
45,Verizon Communications Inc,VZ,0.419811,37.32,0.13,(0.34%)
46,Philip Morris International,PM,0.406747,98.55,0.93,(0.95%)
47,Nextera Energy Inc,NEE,0.403995,74.14,-0.06,(-0.08%)
48,Raytheon Technologies Corp,RTX,0.385681,98.63,0.67,(0.68%)
49,Intel Corp,INTC,0.375312,33.54,0.1,(0.29%)
50,Honeywell International Inc,HON,0.37258,208.35,0.85,(0.41%)
51,Nike Inc Cl B,NKE,0.365915,109.13,-1.24,(-1.13%)
52,Lowe S Cos Inc,LOW,0.362187,224.48,-1.22,(-0.54%)
53,Bristol Myers Squibb Co,BMY,0.36151,64.59,0.64,(1.00%)
54,Qualcomm Inc,QCOM,0.356654,119.51,0.47,(0.39%)
55,S&p Global Inc,SPGI,0.354685,397.02,-3.87,(-0.97%)
56,United Parcel Service Cl B,UPS,0.349577,183.83,4.58,(2.56%)
57,Intuit Inc,INTU,0.34647,452.25,-5.94,(-1.30%)
58,Caterpillar Inc,CAT,0.341194,247.71,1.66,(0.67%)
59,Conocophillips,COP,0.337364,104.37,0.76,(0.73%)
60,Union Pacific Corp,UNP,0.336469,210.2,5.58,(2.73%)
62,Applied Materials Inc,AMAT,0.327534,144.94,0.4,(0.28%)
63,Intl Business Machines Corp,IBM,0.326957,133.67,-0.15,(-0.11%)
64,Intuitive Surgical Inc,ISRG,0.322028,335.92,-6.02,(-1.76%)
65,Boeing Co,BA,0.321306,210.78,-0.38,(-0.18%)
66,General Electric Co,GE,0.321082,108.6,-1.25,(-1.14%)
67,Amgen Inc,AMGN,0.318644,224.73,2.71,(1.22%)
68,Medtronic Plc,MDT,0.314969,87.21,-0.9,(-1.02%)
69,Servicenow Inc,NOW,0.308115,562.21,0.24,(0.04%)
70,Starbucks Corp,SBUX,0.305983,99.31,0.25,(0.25%)
71,At&t Inc,T,0.305591,16.13,0.18,(1.10%)
72,Prologis Inc,PLD,0.303784,123.88,1.25,(1.02%)
73,Morgan Stanley,MS,0.299853,86.65,1.25,(1.46%)
74,Deere & Co,DE,0.294473,406.74,1.55,(0.38%)
75,Goldman Sachs Group Inc,GS,0.288521,326.61,4.07,(1.26%)
76,Elevance Health Inc,ELV,0.283384,445.0,0.71,(0.16%)
77,Lockheed Martin Corp,LMT,0.279195,460.5,0.12,(0.03%)
78,American Express Co,AXP,0.278627,174.31,0.11,(0.06%)
79,Blackrock Inc,BLK,0.278589,695.75,4.61,(0.67%)
80,Stryker Corp,SYK,0.276495,298.21,-6.88,(-2.26%)
81,Booking Holdings Inc,BKNG,0.268355,2719.93,19.6,(0.73%)
82,Mondelez International Inc A,MDLZ,0.267308,73.52,0.58,(0.80%)
83,Analog Devices Inc,ADI,0.265377,192.9,-1.91,(-0.98%)
